position,adverbial indicator,NP-VP-NP,,score
0.3,0.1,0.7,0.3,0.6440714106331327
0.3,0.7,0.8,0.3,0.6214304783731611
0.8,0.3,0.6,0.8,0.6439607373100467
0.1,0.8,0.4,0.7,0.6063626724340491
0.2,0.4,0.1,0.0,0.6098497114898191
0.4,0.0,0.5,0.4,0.6439607373100469
0.2,0.5,0.2,0.9,0.6349809299435506
0.2,0.5,0.8,0.2,0.5885962533484481
0.1,0.9,0.3,0.5,0.6098497114898191
0.2,0.2,0.1,0.1,0.6207724856690557
0.1,0.5,0.6,0.9,0.6316820796784821
0.1,0.9,0.9,0.9,0.6451534573533259
0.1,0.5,0.5,0.0,0.5805735606491174
0.2,0.3,0.5,0.9,0.6439607373100469
0.3,0.0,0.1,0.3,0.6439607373100469
0.0,0.3,0.8,0.7,0.6440714106331326
0.1,0.7,0.4,0.3,0.5860560763011832
0.3,0.5,0.5,0.2,0.6237928325261146
0.1,0.8,0.2,0.0,0.587468642412645
0.2,0.7,0.2,0.1,0.6098497114898191
0.1,0.6,0.5,0.1,0.6214304783731613
0.1,0.6,0.7,0.3,0.7182555428867325
0.1,0.9,0.0,0.5,0.6098497114898191
0.1,0.4,0.9,0.6,0.6248497578306278
0.0,0.1,0.9,0.9,0.6256439377490856
0.1,0.6,0.0,0.9,0.6367703867502903
0.4,0.3,0.8,0.7,0.6439607373100468
0.2,0.3,0.1,0.5,0.6439607373100468
0.9,0.8,0.9,0.5,0.6209947247215651
0.4,0.2,0.1,0.3,0.6439607373100469
0.5,0.4,0.6,0.8,0.6439607373100468
0.1,0.5,0.8,0.9,0.6416654489720645
0.1,0.8,0.7,0.6,0.6182795533540283
0.1,0.9,0.6,0.7,0.6063626724340491
0.7,0.2,0.9,0.0,0.6186507646516594
0.5,0.7,0.3,0.6,0.6167434750290381
0.1,0.6,0.3,0.0,0.6900810971754059
0.0,0.2,0.9,0.8,0.6440714106331327
0.2,0.5,0.8,0.3,0.6105574086289025
0.2,0.8,0.6,0.5,0.6098497114898191
0.1,0.7,0.9,0.4,0.5906067050847685
0.3,0.7,0.8,0.5,0.601355845975346
0.1,0.5,0.3,0.2,0.5874686424126447
0.4,0.0,0.5,0.6,0.6451534573533259
0.3,0.2,0.5,0.9,0.6453621298336301
0.9,0.8,0.9,0.7,0.6315613364879504
0.0,0.2,0.1,0.2,0.643960737310047
0.1,0.5,0.1,0.4,0.6144852616543802
0.2,0.1,0.3,0.0,0.5929450129365369
0.2,0.2,0.6,0.7,0.637764523319066
0.1,0.9,0.3,0.6,0.6182795533540282
0.6,0.8,0.6,0.1,0.6064733457571352
0.1,0.0,0.8,0.9,0.6439607373100467
0.2,0.0,0.0,0.1,0.6248497578306277
0.4,0.7,0.8,0.7,0.6439607373100468
0.2,0.6,0.5,0.4,0.5874686424126448
0.2,0.1,0.6,0.8,0.590597850911731
0.8,0.3,0.7,0.4,0.6316820796784821
0.5,0.4,0.7,0.0,0.623469547295688
0.3,0.3,0.5,0.5,0.6439607373100468
0.1,0.8,0.2,0.1,0.6464608872053847
0.1,0.5,0.7,0.0,0.6095155002592794
0.4,0.3,0.8,0.9,0.7360422723432982
0.7,0.7,0.7,0.3,0.6267862285502064
0.1,0.5,0.5,0.1,0.6064733457571347
0.0,0.3,0.2,0.5,0.6439607373100468
0.1,0.7,0.2,0.0,0.6182795533540282
0.1,0.6,0.5,0.2,0.6900810971754059
0.1,0.7,0.6,0.9,0.7413787176929362
0.2,0.4,0.1,0.2,0.6063626724340491
0.9,0.1,0.0,0.9,0.6439607373100468
0.0,0.2,0.2,0.9,0.6439607373100469
0.1,0.6,0.1,0.0,0.6144852616543802
0.1,0.8,0.7,0.7,0.6063626724340491
0.6,0.0,0.5,0.1,0.6440714106331327
0.8,0.3,0.7,0.6,0.6453621298336301
0.1,0.4,0.9,0.7,0.6440714106331324
0.2,0.7,0.2,0.3,0.5606623360919342
0.4,0.5,0.8,0.2,0.623469547295688
0.6,0.4,0.3,0.4,0.6439607373100469
0.0,0.5,0.0,0.1,0.6063626724340492
0.2,0.2,0.1,0.3,0.637764523319066
0.2,0.3,0.6,0.1,0.6123926153299363
0.1,0.5,0.9,0.0,0.6036443620358402
0.3,0.7,0.8,0.7,0.6439607373100469
0.1,0.6,0.9,0.7,0.6310055486286312
0.2,0.1,0.3,0.1,0.653705788898919
0.1,0.6,0.3,0.1,0.6064733457571347
0.0,0.6,0.9,0.0,0.6064733457571351
