no_mapping,no_mapping,no_mapping,score
0.0,0.0,0.1,1.0
0.0,0.1,0.0,0.386671283735275
0.0,0.3,0.4,0.35672471964614916
0.2,0.1,0.6,0.2585423467573716
0.1,0.6,0.3,0.8250827615865145
0.1,0.8,0.8,0.36587716871662185
0.1,0.7,0.0,0.5524440197522017
0.1,0.6,0.5,0.8250827615865145
0.1,0.0,0.9,0.42093011145585996
0.1,0.6,0.9,0.5589773789713408
0.1,0.6,0.7,0.48364735364453704
0.3,0.5,0.0,0.5145252296176891
0.3,0.4,0.1,0.8178988929559617
0.1,0.8,0.3,0.46683613229654336
0.2,0.5,0.7,0.8250827615865147
0.1,0.9,0.0,0.8250827615865148
0.9,0.5,0.0,0.8057170070205005
0.2,0.8,0.9,0.8250827615865148
0.1,1.0,0.1,0.8250827615865148
0.4,0.2,0.1,0.7862821404819824
0.5,0.8,0.5,0.8291849032759804
0.2,1.0,0.5,0.8250827615865148
0.2,0.3,0.8,0.37566633591648996
0.0,0.2,0.9,0.6377779272604404
0.1,0.9,0.3,0.38733060484150444
0.1,0.5,0.9,0.21863661008035437
0.1,0.9,0.6,0.8250827615865147
0.2,0.4,0.5,0.8250827615865147
0.2,0.0,0.9,0.7592301278532172
0.2,0.6,0.5,0.8250827615865147
0.2,0.7,0.9,0.8250827615865147
0.9,0.5,0.2,0.5247673219632752
0.1,0.8,0.6,0.4035160084304392
0.2,0.2,0.1,0.4612117968125017
0.2,0.1,0.3,0.7862821404819829
0.1,0.8,0.1,0.8250827615865148
0.7,1.0,0.5,0.8178988929559615
0.0,0.2,0.5,0.5090760813721008
0.1,0.6,0.0,0.21863661008035437
0.4,0.6,0.9,0.4148706038373748
0.3,0.8,0.6,0.8250827615865147
0.4,0.9,0.3,0.8250827615865147
0.4,0.4,0.5,0.809692310773859
0.2,0.3,0.4,0.37566633591648996
0.5,0.1,0.1,0.8247642045059966
0.5,0.3,0.3,0.8045529173343011
0.2,0.5,0.8,0.44014461687581735
0.3,0.7,0.5,0.8250827615865147
0.1,0.6,0.2,0.1898413679169964
0.1,0.8,0.9,0.27999218576714313
0.7,0.5,0.4,0.8182985731427185
0.8,0.7,0.7,0.8182985731427185
0.0,0.3,0.2,0.530515377176175
0.2,0.0,0.3,0.2683998596100572
0.3,0.9,0.9,0.8250827615865148
0.1,0.6,0.4,0.17573675761900948
0.1,0.7,1.0,0.4908057924355503
0.2,0.5,0.3,0.8250827615865147
0.0,0.2,0.3,0.49291047085604955
0.1,0.6,0.6,0.1538256708052738
0.6,0.1,0.7,0.7529695628840258
0.1,0.6,0.8,0.13448603167693887
0.2,0.7,0.4,0.4794532500669946
0.9,0.5,0.6,0.5247673219632752
0.2,0.1,0.0,0.34000867487643177
0.1,0.9,0.4,0.37704853406331185
1.0,0.5,0.7,0.7862821404819826
0.1,0.9,0.7,0.367663506029681
0.2,0.2,0.3,0.37187936603041477
0.7,0.1,0.2,0.7488675016864199
