position,frequency,named_entity,score
0.0,0.0,0.1,0.401317045073
0.0,0.1,0.0,0.349207217534
0.0,0.3,0.4,0.394607991271
0.2,0.1,0.6,0.413337460846
0.1,0.6,0.3,0.362828156406
0.1,0.8,0.8,0.330687301129
0.1,0.7,0.0,0.410850645574
0.1,0.6,0.5,0.362828156406
0.1,0.0,0.9,0.363078000033
0.1,0.6,0.9,0.362811347709
0.1,0.6,0.7,0.363897715094
0.3,0.5,0.0,0.385735624366
0.3,0.4,0.1,0.373022536999
0.1,0.8,0.3,0.414835325447
0.2,0.5,0.7,0.362828156406
0.1,0.9,0.0,0.362828156406
0.9,0.5,0.0,0.372046325568
0.2,0.8,0.9,0.362828156406
0.1,1.0,0.1,0.362828156406
0.4,0.2,0.1,0.370369799501
0.5,0.8,0.5,0.366918604229
0.2,1.0,0.5,0.362828156406
0.2,0.3,0.8,0.360299181037
0.0,0.2,0.9,0.392424170851
0.1,0.9,0.3,0.409620610671
0.1,0.5,0.9,0.376700096037
0.1,0.9,0.6,0.362828156406
0.2,0.4,0.5,0.362828156406
0.2,0.0,0.9,0.366949045107
0.2,0.6,0.5,0.362828156406
0.2,0.7,0.9,0.362828156406
0.9,0.5,0.2,0.381163468082
0.1,0.8,0.6,0.410334978714
0.2,0.2,0.1,0.388317876799
0.2,0.1,0.3,0.370369799501
0.1,0.8,0.1,0.362828156406
0.7,1.0,0.5,0.373022536999
0.0,0.2,0.5,0.400144716251
0.1,0.6,0.0,0.376700096037
0.4,0.6,0.9,0.400009309283
0.3,0.8,0.6,0.362828156406
0.4,0.9,0.3,0.362828156406
0.4,0.4,0.5,0.371133748812
0.2,0.3,0.4,0.360299181037
0.5,0.1,0.1,0.36831811945
0.5,0.3,0.3,0.371356923762
0.2,0.5,0.8,0.382839445782
0.3,0.7,0.5,0.362828156406
0.1,0.6,0.2,0.37218655351
0.1,0.8,0.9,0.38024239635
0.7,0.5,0.4,0.37286347237
0.8,0.7,0.7,0.37286347237
0.0,0.3,0.2,0.386423855052
0.2,0.0,0.3,0.315235086751
0.3,0.9,0.9,0.362828156406
0.1,0.6,0.4,0.364469820953
0.1,0.7,1.0,0.40540781481
0.2,0.5,0.3,0.362828156406
0.0,0.2,0.3,0.391459500716
0.1,0.6,0.6,0.310226198631
0.6,0.1,0.7,0.366244849292
0.1,0.6,0.8,0.286497711594
0.2,0.7,0.4,0.341333047529
0.9,0.5,0.6,0.381163468082
0.2,0.1,0.0,0.354878092533
0.1,0.9,0.4,0.415100239627
1.0,0.5,0.7,0.370369799501
0.1,0.9,0.7,0.41002433545
0.2,0.2,0.3,0.357392797616
0.7,0.1,0.2,0.366093426986
0.6,0.7,0.1,0.370928796889
0.4,0.7,0.1,0.362828156406
0.1,0.7,0.8,0.445694142801
0.1,0.3,0.0,0.362828156406
0.2,0.1,0.8,0.354878092533
0.2,0.9,0.1,0.388440800731
0.4,0.4,0.9,0.371133748812
0.2,0.3,0.5,0.404895743169
0.1,0.8,0.7,0.362828156406
0.1,0.5,1.0,0.393033637919
0.9,0.5,0.8,0.372046325568
0.3,0.6,0.5,0.362828156406
0.1,0.8,0.2,0.348091315497
0.4,0.0,0.9,0.366949045107
0.3,0.1,0.7,0.391427968921
0.3,0.0,1.0,0.366949045107
0.1,0.7,0.6,0.362828156406
0.0,0.3,0.7,0.352779453249
0.1,1.0,0.6,0.36199069406
0.3,0.7,0.7,0.362828156406
0.2,0.6,0.9,0.362828156406
0.2,0.0,0.5,0.366949045107
0.1,0.6,0.1,0.429801082357
0.1,0.8,1.0,0.348091315497
0.2,0.7,0.5,0.382527566075
0.2,0.3,0.1,0.373022536999
1.0,0.6,0.3,0.371356923762
0.3,0.3,0.5,0.371133748812
0.1,0.7,0.4,0.362828156406
0.5,0.9,0.0,0.362828156406
0.1,1.0,0.3,0.362828156406
0.3,0.5,0.4,0.371567772044
0.0,0.4,0.1,0.345620161496
0.1,0.8,0.0,0.350093075878
0.4,0.9,0.7,0.362828156406
0.1,0.7,0.2,0.352597078481
0.3,0.4,0.5,0.373022536999
0.1,1.0,0.0,0.348091315497
0.1,0.9,0.5,0.340897891222
0.2,0.1,0.5,0.370369799501
0.0,0.4,0.7,0.404500760622
0.7,0.1,0.6,0.366093426986
0.1,0.5,0.4,0.362828156406
0.2,0.8,0.3,0.348091315497
0.1,0.7,0.9,0.378898470301
0.5,0.6,0.5,0.392527345519
0.2,0.4,0.1,0.389921381787
0.1,0.4,0.1,0.362828156406
0.2,0.5,0.0,0.348091315497
0.1,1.0,0.7,0.386700087011
0.7,0.6,0.1,0.37286347237
