position,clausal conjunction,adverbial indicator,NP-VP-NP,score
0.1,0.3,0.3,0.8,0.153062257052
0.0,0.2,0.5,0.7,1.0
0.1,1.0,0.6,0.7,0.29473312328
0.2,0.1,0.9,0.7,0.703289682531
0.1,0.4,0.7,0.7,0.357105769743
0.2,1.0,0.6,0.1,0.461363528049
0.1,0.2,0.5,0.9,0.541390794801
0.3,0.1,0.9,0.9,0.468278082099
0.2,0.5,0.6,0.6,0.703289682531
0.7,0.6,0.9,0.1,0.70827728007
0.0,0.1,0.9,0.0,0.690919170479
0.1,0.2,0.4,0.2,0.313496485277
0.1,0.7,0.2,1.0,0.382434547639
0.1,0.8,0.2,0.7,0.461363528049
0.1,0.5,0.9,0.6,0.365635269233
0.5,0.3,0.1,1.0,1.0
0.0,0.9,0.5,0.0,0.690919170479
0.1,0.6,0.4,0.4,0.439100781373
0.3,0.7,0.4,0.8,1.0
0.2,0.0,0.1,0.3,0.541390794801
0.1,0.7,0.6,0.4,0.462363973119
1.0,0.5,0.6,0.6,1.0
0.6,0.5,0.3,0.2,0.542706316665
0.4,0.2,0.3,1.0,1.0
0.2,0.6,0.5,0.4,0.690919170479
0.1,0.4,1.0,0.1,0.233781614995
0.1,0.2,0.9,0.3,0.239701150962
0.3,0.4,0.5,0.0,0.290396619274
0.5,1.0,0.7,0.9,0.904134662896
0.1,0.2,0.7,0.6,0.939315263845
0.0,0.2,0.8,0.9,1.0
0.1,0.4,0.0,1.0,0.365635269233
0.1,0.3,0.5,0.8,0.153062257052
0.1,0.4,0.5,0.4,0.220230947737
0.1,0.9,0.3,0.9,1.0
0.7,0.0,0.6,0.2,0.939315263845
0.0,0.1,1.0,0.1,0.939315263845
0.1,0.3,0.1,1.0,0.313496485277
0.1,0.5,0.4,0.2,0.690919170479
0.4,0.7,0.8,0.4,0.70827728007
0.6,0.5,0.3,0.4,0.648576409638
0.1,0.2,0.2,0.7,1.0
0.2,0.0,0.8,0.7,0.528879787529
0.3,0.5,0.9,0.4,0.782705175149
0.5,0.0,0.1,0.1,1.0
0.0,0.4,0.2,0.1,0.690919170479
0.1,0.7,1.0,0.0,0.461363528049
0.1,0.8,1.0,0.7,0.408065043037
0.1,0.3,0.0,0.1,0.330597179325
0.2,1.0,0.6,0.5,0.690919170479
0.1,0.3,0.9,0.9,0.316114391051
0.1,0.7,0.3,0.0,0.246269794979
0.1,0.3,0.3,0.9,1.0
0.0,0.5,0.8,0.5,0.939315263845
0.1,0.5,0.1,0.7,0.468278082099
0.1,0.5,0.9,0.7,0.939315263845
1.0,0.5,0.7,0.1,0.77669185664
